Sentence,Label
You now need to include a decimal point in the answer to show that the 4 is now worth 4 tenths.24 ÷ 10 = 2.4 Sara has collected a mixture of pounds and pennies.,"Divide decimals by 10, 100 and 1,000"
"She has worked out that it's 723 pence altogether, but what is that amount in pounds?","Divide decimals by 10, 100 and 1,000"
There are 100 pennies in a pound so the calculation is: 723 ÷ 100 = ?,"Divide decimals by 10, 100 and 1,000"
See how each digit has moved two place values to the right?723 ÷ 100 = 7.23 What is 6510 ÷ 1000?,"Divide decimals by 10, 100 and 1,000"
"The digits have moved to the right since they are decreasing in value, this time three places.","Divide decimals by 10, 100 and 1,000"
"The zero has moved to the thousandths column, but you don’t have to write it in your answer.","Divide decimals by 10, 100 and 1,000"
6510 ÷ 1000 = 6.51,"Divide decimals by 10, 100 and 1,000"
Numbers can be subtracted using the column method.,Subtract more than 4-digit numbers
Watch this video to learn about subtracting 4-digit numbers using the column method.,Subtract more than 4-digit numbers
Let’s take a look at some examples of how to subtract numbers that are larger than 4 digits using this method.,Subtract more than 4-digit numbers
"Harry has worked out the following subtraction: 34,256 - 12,382 = 22,974.",Subtract more than 4-digit numbers
Is he correct?The best thing to do is work out the answer for ourselves since Harry hasn’t shown whether he has exchanged any numbers.,Subtract more than 4-digit numbers
"Harry answered 22,974 but it worked it out as 21,874.",Subtract more than 4-digit numbers
Harry is wrong because he forgot to reduce the number of hundreds after he had exchanged a ten.Always take your time when you are working out column subtraction.,Subtract more than 4-digit numbers
Make sure you have remembered all the steps.,Subtract more than 4-digit numbers
Use the column method to help subtract large numbers.,Subtract more than 4-digit numbers
"Separate the numbers into their place value of ones, tens, hundreds and thousands.",Subtract more than 4-digit numbers
"Start your subtraction on the right with the ones column first.Estimate your answer before you start.Subtraction is the opposite to addition, so it can be checked by adding.",Subtract more than 4-digit numbers
"For example, check that 11,282 - 4,237 = 7,045 by doing the sum 7,045 + 4,237 = 11,282Look out for these words in problems: take away, difference, less than, minus, decrease, fewer than, reduce.",Subtract more than 4-digit numbers
They all indicate subtraction.,Subtract more than 4-digit numbers
The aim of this guide is to show how to add decimals with a different number of decimal places.,Adding decimals with a different number of decimal places
We will focus on the formal written method.,Adding decimals with a different number of decimal places
Let's look at some examples.,Adding decimals with a different number of decimal places
"What is 4.5 + 3.26?Set out the calculation, making sure each digit is lined up in the correct column based on its place value and that the decimal points are directly underneath one another.",Adding decimals with a different number of decimal places
We need to be careful here as the numbers have a different number of places.,Adding decimals with a different number of decimal places
You can write 4.5 as 4.50.,Adding decimals with a different number of decimal places
"This does not change the value of the number, but it may help when setting out and completing the calculation.",Adding decimals with a different number of decimal places
"Starting with the column on the right with the least place value, i.e.",Adding decimals with a different number of decimal places
"with hundredths in this example, we say:6 hundredths plus 0 hundredths is 6 hundredths,5 tenths plus 2 tenths is 7 tenths and4 ones plus 3 ones is 7 ones.",Adding decimals with a different number of decimal places
What is 47.48 + 6.759?,Adding decimals with a different number of decimal places
"The first decimal has two decimal places and the second decimal has three decimal places.Set out the calculation, making sure each digit is in the correct column based on its place value and that the decimal points are directly underneath one another.",Adding decimals with a different number of decimal places
"You can write 7.48 as 7.480.Starting with the thousandths column, 0 thousandths plus 9 thousandths is 9 thousandths.Moving to the hundredths column, 8 hundredths plus 5 hundredths is 13 hundredths, which is the same as 1 tenth and 3 hundredths.Moving to the tenths column, 4 tenths plus 7 tenths plus the 1 ‘extra’ tenth is 12 tenths, which is the same as 1 one and 2 tenths.",Adding decimals with a different number of decimal places
"Moving to the ones column, 7 ones plus 6 ones plus the 1 ‘extra’ one is 14 ones, which is the same as 1 ten and 4 ones.",Adding decimals with a different number of decimal places
"What is 6.1 + 2.685 + 7.49?Set out the calculation, making sure each digit is in the correct column based on its place value and that the decimal points are directly underneath one another.",Adding decimals with a different number of decimal places
"You can write 6.1 as 6.100 and 7.49 as 7.490.Starting with the thousandths column, 0 thousandths plus 5 thousandths plus 0 thousandths is 5 thousandths.Moving to the hundredths column, 0 hundredths plus 8 hundredths plus 9 hundredths is 17 hundredths, which is the same as 1 tenth and 7 hundredths.Moving to the tenths column, 1 tenth plus 6 tenths plus 4 tenths plus the 1 ‘extra’ tenth is 12 tenths, which is the same as 1 one and 2 tenths.",Adding decimals with a different number of decimal places
"Moving to the ones column, 6 ones plus 2 ones plus 7 ones plus the 1 ‘extra’ one is 16 ones, which is the same as 1 ten and 6 ones.",Adding decimals with a different number of decimal places
What is 7.85 + 6 + 9.4?,Adding decimals with a different number of decimal places
Set out the calculation carefully.,Adding decimals with a different number of decimal places
Think about the place value of each digit and ensure that the decimal points are directly underneath one another.,Adding decimals with a different number of decimal places
Remember that 6 is – of course – 6 ones and can be written as 6.0.,Adding decimals with a different number of decimal places
You can write 6.0 as 6.00 and 9.4 as 9.40.,Adding decimals with a different number of decimal places
"Starting with the hundredths column, 5 hundredths plus 0 hundredths plus 0 hundredths is 5 hundredths.Moving to the tenths column, 8 tenths plus 0 tenths plus 4 tenths is 12 tenths, which is the same as 1 one and 2 tenths.",Adding decimals with a different number of decimal places
"Moving to the ones column, 7 ones plus 6 ones plus 9 ones plus the ‘extra’ one is 23 ones, which is the same as 2 tens and 3 ones.",Adding decimals with a different number of decimal places
Subtracting decimals using the column method is exactly the same as subtracting whole numbers.,Subtracting decimals with the same number of decimal places
"You just have to make sure that the decimal points line up, so the place values of the digits are all the same.",Subtracting decimals with the same number of decimal places
Let's take a look at this method for subtracting decimals using some examples.,Subtracting decimals with the same number of decimal places
"What is 12.34 – 10.5?Can you see that 12.34 has two digits after the decimal point; however, 10.5 only has one?It’s always a useful idea to make sure both numbers have the same amount of digits after the decimal point.10.5 doesn’t have any hundredths so you can represent that by including a 0 in the hundredths column.",Subtracting decimals with the same number of decimal places
"Now starting from the hundredths column, begin subtracting... Oh no!",Subtracting decimals with the same number of decimal places
"You can’t subtract 5 tenths from 3 tenths, so you have to exchange (or “borrow”) from the ones column.Now you have exchanged 1 one for 10 tenths, you can solve 13 tenths minus 5 tenths.Remember, you now have to reduce the number of ones to represent this exchange.Let's continue with the subtraction... For the rest of the subtraction, you don’t have to exchange any more so subtracting the rest of the digits is straightforward.So, 12.34 – 10.5 = 1.84 What is 145.2 – 134.19?First, make sure both numbers have the same amount of decimal places and the decimal points are lined up.",Subtracting decimals with the same number of decimal places
"Now starting from the hundredths column, begin subtracting... You cannot take 9 hundredths away from 0 hundredths, so you must exchange 1 tenth for 10 hundredths and then reduce the amount of tenths.Now let's continue with the subtraction... You do not have to exchange any more numbers in the subtraction, so you can easily subtract the rest of the digits.Therefore, 145.2 – 134.19 = 11.01",Subtracting decimals with the same number of decimal places
Learn how to subtract decimals that have a different number of decimal places.,Subtracting decimals with different decimal places
"8.67 - 3.5 = Let's set out the calculation as a column subtraction.When we set out a column subtraction we make sure our ones, tenths and hundredths are in the right column and the decimal points are lined up.",Subtracting decimals with different decimal places
"As with any column subtraction, we start on the right hand side :7 hundredths take away 0 hundredths is 7 hundredths.",Subtracting decimals with different decimal places
6 tenths take away 5 tenths is 1 tenth.,Subtracting decimals with different decimal places
8 ones take away 3 ones is 5 ones.8.67 - 3.5 = 5.17 You can write 3.5 as 3.50.,Subtracting decimals with different decimal places
This doesn't change the value of the number and might help you with the calculation.,Subtracting decimals with different decimal places
"7.5-1.26 = 4.37-2.524 = In this example, the first number has two decimal places and the second number has three decimal places.",Subtracting decimals with different decimal places
Let's work this out step by step.,Subtracting decimals with different decimal places
4 thousandths cannot be taken away from 0 thousandths so we exchange 1 hundredth for 10 thousandths.,Subtracting decimals with different decimal places
"10 thousandths take away 4 thousandths is 6 thousandths.6 hundredths take away 2 hundredths is 4 hundredths.5 tenths cannot be taken away from 3 tenths, so we exchange 1 one for 10 tenths.",Subtracting decimals with different decimal places
13 tenths take away 5 tenths is 8 tenths.3 ones take away 2 ones is 1 one.4.37 - 2.524 = 1.846 Put your knowledge to the test in this quiz.,Subtracting decimals with different decimal places
Now try your hand answering some more questions.,Subtracting decimals with different decimal places
Column addition is a very useful way to add 2-digit to 3-digit numbers.,Add 3-digit and 2-digit numbers
Here are some examples taking you through the method.,Add 3-digit and 2-digit numbers
"In each example first look at the ones column, then the tens column, then the hundreds column.",Add 3-digit and 2-digit numbers
What is 237 + 22?,Add 3-digit and 2-digit numbers
What is 319 + 47?,Add 3-digit and 2-digit numbers
What is 531 + 93?,Add 3-digit and 2-digit numbers
"When you add a 1-digit number to a 3-digit number, the same rules apply as when you are adding a 1-digit number to a 1 or 2-digit number.Number lines, partitioning, Base 10 and the column method can all be useful.",Adding 3-digit and 1-digit numbers together
Learn more about adding a 1-digit to a 3-digit number in this video.,Adding 3-digit and 1-digit numbers together
What is 285 + 6?Let's solve this with a number line.,Adding 3-digit and 1-digit numbers together
Start on the number 285 and then count on 6.,Adding 3-digit and 1-digit numbers together
Notice how both digits in the tens and ones have changed?,Adding 3-digit and 1-digit numbers together
"That’s because you bridged a ten when six was added.285 + 6 = 291Another good way to solve the question is to partition the number 6: Now that 6 has been partitioned into 5 and 1, you can use your number bond knowledge to add the 5 to reach the next ten, then add 1.",Adding 3-digit and 1-digit numbers together
First add the 5 to take you to the next ten (290).,Adding 3-digit and 1-digit numbers together
285 + 5 = 290Then add the 1.,Adding 3-digit and 1-digit numbers together
290 + 1 = 291 What is 422 + 4?Let's use Base 10 this time: How would you add a 3-digit number and a 1-digit number using the column method?,Adding 3-digit and 1-digit numbers together
What is 239 + 4?Let's try using the column method to solve this question.,Adding 3-digit and 1-digit numbers together
"When you subtract a 1-digit number from a 3-digit number, the same rules apply as when you are subtracting a 1-digit number from a 1 or 2-digit number.",Subtract a 1-digit number from a 3-digit number
Watch this video to find out more.,Subtract a 1-digit number from a 3-digit number
"Number lines, place value charts, partitioning and Base 10 are all very helpful when subtracting a 1-digit from a 1, 2, or 3-digit number.",Subtract a 1-digit number from a 3-digit number
What is 632 - 5?A number line can help you answer this question.,Subtract a 1-digit number from a 3-digit number
"Find 632 on the number line and then count 5 steps backwards: Now you have the answer: 632 - 5 = 627 Since you had to go through a ten for that questions, you could have also used your number bond and partitioning skills to reach the ten before subtracting the rest of the number.Partitioning the 5 into 2 and 3 is a way to subtract quickly, particularly if you are doing the calculation in your head.First, partition the 5: Now apply this to the number line.",Subtract a 1-digit number from a 3-digit number
"A different method, but the same answer - 627.",Subtract a 1-digit number from a 3-digit number
What is 321 - 4?This is 321 using Base 10.,Subtract a 1-digit number from a 3-digit number
There's only 1 one.,Subtract a 1-digit number from a 3-digit number
"How are you supposed to subtract 4 ones from 321?Remember, one ten is the same as ten ones, so you could turn one of the ten sticks into ten ones.",Subtract a 1-digit number from a 3-digit number
Then you have plenty of ones to subtract from!,Subtract a 1-digit number from a 3-digit number
Now you can take away 4 of the cubes.,Subtract a 1-digit number from a 3-digit number
You have the answer: 421 - 4 = 317,Subtract a 1-digit number from a 3-digit number
Ways of showing additionThere are different ways to demonstrate additions.,Add two-digit numbers
Here the calculation 43 + 32 is shown as a part-whole model and a bar model.,Add two-digit numbers
Each way of showing the calculation shows part + part = whole.75 is the whole number and 43 and 32 are the parts.,Add two-digit numbers
"When a number is made up of more than one digit we can use a place value chart with headings, like ones, tens, hundreds and thousands, to help us understand the value of each digit.Let's take a look at the calculation 25 + 33.Using a place value chart to work out the answer to this calculation we split each number into tens and ones.Each packet of pencils represents one ten and each marble represents one in the ones column.25 has 2 tens and 5 ones so we add 2 packets of pencils to the tens column and 5 marbles to the ones column.",Add two-digit numbers
Now let's add the second number to the place value chart.33 has 3 tens and 3 ones so we add 3 packets of pencils to the tens column and 3 marbles to ones column.,Add two-digit numbers
Starting with the ones column first we can now count everything up to find the answer to the calculation.,Add two-digit numbers
There are 8 marbles in the ones column and 5 sets of pencils in the tens column so 25 + 33 = 58.,Add two-digit numbers
Example 1Let's take a look at this part-whole model and work out what the whole is.,Add two-digit numbers
We can write this as 18 + 11.As with the other example we will use a place value chart to work out the answer.Here we have 1 set of pencils and 8 marbles on top representing 18 and 1 set of pencils underneath and 1 marble representing 11.,Add two-digit numbers
Adding up the ones column first we can see there are 9 ones in total.In the tens column there are 2 tens so 18 +11 = 29.,Add two-digit numbers
Here is a bar model made up of the parts 32 and 26.This is the same as 32 + 26.,Add two-digit numbers
Here is 32 + 26 in a place value chart.,Add two-digit numbers
There are 8 ones and 5 tens so 32 + 26 = 58.,Add two-digit numbers
"When you're working out additions using these methods, always add up the numbers in the ones column first.",Add two-digit numbers
Have a go at the questions in this quiz.,Add two-digit numbers
You can use a piece of paper to draw a place value chart if it helps with your working out.,Add two-digit numbers
This video explains how you can work out a calculation by adding or subtracting to 10 first.,Add by making 10
Adding by making 10 is also called bridging through 10.Here's what to do:Work out what you need to add to your first number to make ten.,Add by making 10
Take this from your second number.,Add by making 10
What do you have left?Add what is left to 10.,Add by making 10
That's your answer!,Add by making 10
8 + 4 = ?This can be solved by partitioning one of the numbers.Here are two tens frames showing 8 orange counters.,Add by making 10
Here are 4 yellow counters which are going to be added to the 8 orange counters.,Add by making 10
There are 2 empty spaces on the left hand ten frame.,Add by making 10
8 + 2 = 10We have used 2 of the yellow counters to make 10.,Add by making 10
There are 2 yellow counters left over that are added to the second ten frame.,Add by making 10
10 + 2 = 12This shows 8 + 4 = 12 The same calculation can be solved using the part-whole model.4 can be split into 2 and 2.,Add by making 10
2 can be added to 8 to make 10.8 + 2 = 10Then the 10 can be added to the other 2 to make 12.10 + 2 = 12Which means 8 + 4 = 12 7 + 4 = ?Start by working out what you need to add to 7 to make 10.7 + ?,Add by making 10
= 10 The answer is 3.Take this answer away from the second number in the calculation.,Add by making 10
4 - 3 = 1Add this answer on to 10.,Add by making 10
10 + 1 = 11So: 7 + 4 = 11.,Add by making 10
This can be shown as a part-whole model like this.,Add by making 10
Have a go at these quizzes to put what you've practised into action.,Add by making 10
"If the numbers are too high or too difficult to subtract in your head, write them down in columns.",How to use column subtraction
"Separate the numbers into ones, tens, hundreds and thousands.",How to use column subtraction
List the numbers in a column and always start with the ones first.,How to use column subtraction
Estimate first and check afterwards - it's a good idea to estimate a rough answer first.,How to use column subtraction
And always check your actual answer.Subtraction is the opposite to addition.,How to use column subtraction
So subtraction can always be checked by adding.,How to use column subtraction
"Check that 182 - 37 = 145 by doing the sum: 145 + 37 = 182Look out for these words in problems: take away, difference, less than, minus, decrease, fewer than, reduce.",How to use column subtraction
They all indicate subtraction.,How to use column subtraction
"Rounding numbers to the nearest 1, 10 or 100 can help with lots of mental maths problems.To add 9 to another number, add 10 and then subtract 1: 36 + 9 = 36 + 10 - 1 = 45To add 18 to another number, add 20 and then subtract 2: 48 + 18 = 48 + 20 - 2 = 66To add 97 to another number, add 100 and then subtract 3: 439 + 97 = 439 + 100 - 3 = 536To add 0.9 to another number, add 1 and then subtract 0.1: 3.7 + 0.9 = 3.7 + 1 - 0.1 = 4.6 Breaking down numbers can help you add or subtract in your head.",How to add and subtract in your head
"For example: find the difference between 38 and 63.Count on from 38 to 40 and keep that 2 in your head.Now count on from 40 to 60, which is 20.Finally count from 60 to 63 which is 3.Add them together: 2 + 20 + 3 = 25",How to add and subtract in your head
When you multiply by 1 the answer stays the same.,"How to multiply and divide by 0, 1, 10 and 100"
"21 × 1 = 21When you multiply by 10, move all the digits one place to the left, putting a zero in the empty space.","How to multiply and divide by 0, 1, 10 and 100"
"21 × 10 = 210When you multiply by 100, move all the digits two places to the left, putting a zero in the empty spaces.","How to multiply and divide by 0, 1, 10 and 100"
"21 × 100 = 2100 Any number multiplied by 0 is 05 × 0 = 0100 × 0 = 09456 × 0 = 0What is 1,000,000 × 0?","How to multiply and divide by 0, 1, 10 and 100"
When you divide by 1 the answer stays the same.,"How to multiply and divide by 0, 1, 10 and 100"
"21 ÷ 1 = 21When you divide by 10, move all the digits one place to the right.","How to multiply and divide by 0, 1, 10 and 100"
"210 ÷ 10 = 21When you divide by 100, move all the digits two places to the right.","How to multiply and divide by 0, 1, 10 and 100"
2100 ÷ 100 = 21,"How to multiply and divide by 0, 1, 10 and 100"
Let's begin with a practical exercise involving counting in twos.,Count in 2s
For more help and advice with Maths watch this Teacher Talk video.,Count in 2s
Here is number 7 on a number track.,Count in 2s
How much is 2 more than 7?How much is 2 less than 7?,Count in 2s
9 is 2 more than 7.5 is 2 less than 7.,Count in 2s
Here is number 16 on a number track.,Count in 2s
How much is 2 more than 16?How much is 2 less than 16?,Count in 2s
18 is 2 more than 16.14 is 2 less than 16.,Count in 2s
Here is a pair of shoes.,Count in 2s
There are 2 shoes in a pair.Can you count how many shoes there are below?,Count in 2s
"Count them in twos: 2, 4, 6, 8, 10, 12, 14.",Count in 2s
"Top tipInstead of counting up in twos, you can multiply by 2, which is a more efficient way of doing the same calculation.Counting in twos gives you the two times table.So, 7 pairs of shoes is the same as 7 x 2 = 14 shoes.",Count in 2s
RememberA pair always has 2 things.,Count in 2s
"Practise counting up in twos from 0 to 40.0246810121416182022242628303234363840Remember, when counting in twos the last digit is always 0, 2, 4, 6 or 8.",Count in 2s
Here are 6 frogs.,Divide by 2
"To divide them by 2, we share them equally into 2 groups: There are 3 in each group, so 6 divided by 2 is 3, or: 6 ÷ 2 = 3This is related to the 2 times table fact 3 x 2 = 6.",Divide by 2
Here are 10 cakes.,Divide by 2
To divide them by 2 we share them equally into 2 groups.,Divide by 2
"There are 5 in each group, so 10 divided by 2 is 5, or:10 ÷ 2 = 5This is related to the 2 times table fact 5 x 2 = 10.",Divide by 2
Here are 12 butterflies.,Divide by 2
Group them into pairs.,Divide by 2
How many pairs are there?,Divide by 2
There are 6 pairs.12 ÷ 2 = 6 or 6 x 2 = 12 Sindhu and Selasi have 16 spiders between them.,Divide by 2
They share them equally.,Divide by 2
How many do they each get?,Divide by 2
There are 16 spiders altogether.Divided them into two equal groups.,Divide by 2
There are 8 spiders in each group.,Divide by 2
So you can say that:16 ÷ 2 = 8 Sindhu and Selasi each get 8 spiders.,Divide by 2
Becky has some counters and she shares them equally with her friend Sophie.,Divide by 2
They each have 17 counters.,Divide by 2
How many counters did Becky start with?2 groups of 17 is the same as 34.34 divided equally into 2 groups is 17.34 ÷ 2 = 17So Becky must have started with 34 counters.,Divide by 2
Watch: Counting in 5sLet's count up and down in 5s.,Count in 5s
For more help and advice with Maths watch this Teacher Talk video.,Count in 5s
Using a number grid to count in 5sHere is a number grid starting at 1 and finishing with 50.,Count in 5s
Look at the coloured numbers.,Count in 5s
"What do you notice?Here are the numbers: 5, 10, 15, 20, 25, 30, 35, 40, 45, 50.Each number is 5 more than the number before.",Count in 5s
Example:These flowers all have 5 petals each.,Count in 5s
- How many flowers are there?- How many petals are there?Count in 5s to help you work out the number of petals.,Count in 5s
There are 5 flowers with 25 petals in total.,Count in 5s
Top tipCounting in 5s helps you learn to multiply by 5.,Count in 5s
"So, 5 flowers with 5 petals each is the same as saying:5 x 5 = 25 petalsCounting in 5s gives you the 5 times table.",Count in 5s
"ActivitiesActivity 1Practise counting up in 5s from 0 to 50.5101520253035404550 RememberWhen counting in fives, the last digit will always end with either 0 or 5.",Count in 5s
Quiz,Count in 5s
What does 15 ÷ 3 mean?What mathematics do we need to be able to solve this problem?This sign ÷ means divide.There are two ways to divide:sharinggrouping Sharing can look like this.,Divide by 5
Here are 15 counters.,Divide by 5
Can you share the counters equally onto three plates?,Divide by 5
How many counters are there on each plate?,Divide by 5
15 counters shared on to 3 plates makes 5.,Divide by 5
Or you could write:15 ÷ 3 = 5 Grouping looks like this.Here are 15 counters.,Divide by 5
How many groups of 3 are there hiding in 15?,Divide by 5
15 ÷ 3 = 5 Sharing and grouping are ways of solving a division problem.Sharing is a good method when the numbers are quite small.Grouping is a good method when the numbers start to get bigger.,Divide by 5
Let’s look at dividing by 5 by grouping.What is 30 ÷ 5?I need 30 objects and I need to put them into groups of 5.The answer is the number of equal groups you have after grouping all your objects.Here are 30 cubes.,Divide by 5
How many groups of 5 are there?,Divide by 5
There are 6 equal groups of 5.,Divide by 5
So:30 ÷ 5 = 6 What is the answer to 45 ÷ 5?Look at the question.How many things do you need?How big do the groups need to be?Here are 45 cubes.,Divide by 5
Here are the same 45 cubes put into equal groups of 5.,Divide by 5
There are 9 groups.,Divide by 5
Therefore:45 ÷ 5 = 9Here is another way to solve division problems.,Divide by 5
"Count on in equal groups of 5.Put your hands out in front of you, palms facing up, like this.",Divide by 5
"Starting on the left with you thumb, count on in 5s until you reach 35.",Divide by 5
How many fingers did you use?There are 7 groups of 5 in 35.,Divide by 5
"So:35 ÷ 5 = 7 Using your fingers and counting on in 5s, solve these division problems.20 ÷ 5 =25 ÷ 5 =50 ÷ 5 =",Divide by 5
Here are some dice.,Counting in 3s
What do you notice about these dice?,Counting in 3s
You may have noticed that there are 4 dice and they all show the number 3.What is 3 + 3 + 3 + 3?There is more than one way to find the right answer.,Counting in 3s
"You could double the first two, then double them again.",Counting in 3s
Or you could count up in 3s.,Counting in 3s
Did you get the answer 12?,Counting in 3s
Here are some cubes.,Counting in 3s
Can you see a pattern?,Counting in 3s
"The numbers are increasing.3, 6, 9, 12The numbers are increasing by 3 each time.",Counting in 3s
3 + 3 + 3 + 3 = 12 Here is an array.We can count in 3s from top to bottom.,Counting in 3s
Or from left to right.,Counting in 3s
This is what counting up in 3s looks like on a number line.Can you see a pattern?,Counting in 3s
What do you notice?,Counting in 3s
"Here is another way to count in 3s.Put your hands out in front of you, palms facing up.Starting with your left thumb, count up in 3s.",Counting in 3s
"After 30 what are the next 3 multiples of 3?Let’s count in 3s:3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 36, 39Can you continue the pattern?How far can you go?Can you count back in 3s from 30?",Counting in 3s
Try out your new counting skills with this word problem.Kylie the kangaroo jumps in 3s on a numberline.,Counting in 3s
"She starts at 0 and jumps 16 times.After 5 jumps, what number does Kylie land on?After 10 jumps, what number does Kylie land on?After 16 jumps what number does Kylie land on?How did you work it out?",Counting in 3s
Did you count up in 3s?,Counting in 3s
Did you use multiples of 3 to help you?,Counting in 3s
Did you use any times table knowledge to help you answer this question?The answer is 48.,Counting in 3s
I have 4 tubs of 3 pencils.,Multiplying and dividing by three
How many pencils do I have in total?,Multiplying and dividing by three
There are 3 in each group so I can work out the answer as a repeated addition.,Multiplying and dividing by three
3+3+3+3 = 12Another way to write this is 4 groups of 3.As a number sentence this is 4 x 3 = 12 Here are 5 triangles.,Multiplying and dividing by three
"Each triangle has 3 sides, how many sides are there all together?",Multiplying and dividing by three
The repeated addition is 3 + 3 + 3 + 3 +3 = 15The multiplication sentence is 5 x 3 = 15 When we say divide by 3 we mean we are sharing an amount or number into 3 equal groups.,Multiplying and dividing by three
I have 6 marbles and I want to share or divide them by 3 people.Divided by 3 people means putting 6 marbles into 3 equal groups.,Multiplying and dividing by three
"I take one marble at a time and move them into each group, making sure each group has the same amount.",Multiplying and dividing by three
"Once the whole amount has been shared equally, how many are in each group?",Multiplying and dividing by three
There are 2 marbles in each group.,Multiplying and dividing by three
6÷3 = 2 Take a look at the bar model.,Multiplying and dividing by three
How could you work out the missing values?,Multiplying and dividing by three
The whole number is 18 so this is at the top.The bottom has been split into 3 equal groups that make up 18.Let’s share 18 counters into three groups to help.,Multiplying and dividing by three
The counters have been shared equally each 3 groups and each group has 6 counters.,Multiplying and dividing by three
18 ÷ 3 = 6,Multiplying and dividing by three
The 8 times table is double the 4 times table.,The 8 times table
The 4 times table is double the 2 times table.,The 8 times table
That’s a lot of doubling!,The 8 times table
But that’s not the only trick that can help you learn the times table facts.,The 8 times table
Here is the 8 times table.,The 8 times table
Take a close look at the the tens column and the ones column.,The 8 times table
"The 8 times table1 x 8 = 082 x 8 = 163 x 8 = 244 x 8 = 325 x 8 = 406 x 8 = 487 x 8 = 568 x 8 = 649 x 8 = 7210 x 8 = 8011 x 8 = 8812 x 8 = 96 The ones column decreases in twos starting from 8:8, 6, 4, 2, 0, 8, 6, 4, 2, 0Notice how, when it gets to 0, it starts again from 8?The tens column also has a pattern.",The 8 times table
"It increases by 1 each time, but when it gets to 4 and 8 it repeats:1, 2, 3, 4, 4 , 5, 6, 7, 8, 8, 9 Improve your knowledge of the 8 times table with this routine from Supermovers: What does this array represent?It represents a multiplication in the 8 times table.",The 8 times table
Count the top row and the left-hand column to find out which one.,The 8 times table
Count the apples along the top row.,The 8 times table
There are 8.Now count the apples in the left-hand column.,The 8 times table
There are 5.There are 8 lots of 5 (or 5 lots of 8).,The 8 times table
You can write this as 8 x 5 or 5 x 8.8 x 5 = 40 What is 48 ÷ 8?Bar models can help you visualise a calculation.,The 8 times table
Let's divide this bar model into 8 sections.,The 8 times table
Now all you have to work out is how many 8s are in 48.,The 8 times table
There are 6.,The 8 times table
Therefore:48 ÷ 8 = 6 There are 11 octopuses swimming near the shore.,The 8 times table
"How many legs are there altogether?We know that octopuses have 8 legs, so the equation we need to work out is 11 x 8.",The 8 times table
"We know from the 8 times table that: 8 x 11 = 88So, there are 88 legs altogether.",The 8 times table
The 11 and 12 times tables have some interesting tricks that can help you to learn them.,11 and 12 times table
Watch this Supermovers video with Clara the Hen to learn a fun song about the 11 times table.,11 and 12 times table
Here is the 11 times table.1 x 11 = 117 x 11 = 772 x 11 = 228 x 11 = 883 x 11 = 339 x 11 = 994 x 11 = 4410 x 11 = 1105 x 11 = 5511 x 11 = 1216 x 11 = 6612 x 11 = 132 What do you notice about the numbers that are multiplied by 11 up to 9?,11 and 12 times table
The number you a multiplying repeats itself in the tens and ones in the answer!,11 and 12 times table
"But what happens when you multiply 11 by 10, 11 or 12?10 x 11 = 11011 x 11 = 12112 x 11 = 132 Can you see a pattern in the answers here?The numbers that you multiply by 11 seem to separate into the hundreds and the ones columns, with a new digit in the tens.How do you know what the digit in the tens column will be?",11 and 12 times table
You add the digits in the hundreds and ones column together!Does this work for numbers bigger than 12?,11 and 12 times table
What is 32 × 11?Step 1 - Separate the main number into the hundreds and the ones columns:32 × 11 = 3 _ 2 The 3 moves to the hundreds column while the 2 stays where it is.Step 2 - How do you know what the digit in the tens column will be?,11 and 12 times table
You add the digits in the hundreds and ones column together3 + 2 = 5 32 × 11 = 352 This trick will work for a lot of 2-digit numbers that you multiply by 11.,11 and 12 times table
"Be careful though, it doesn't work for all of them!",11 and 12 times table
Watch this Supermovers video with Chirpy Cockerel to practise the 12 times table.,11 and 12 times table
Take a look at the 12 times table and see if you can spot a pattern.,11 and 12 times table
"1 x 12 = 127 x 12 = 842 x 12 = 248 x 12 = 963 x 12 = 369 x 12 = 1084 x 12 = 4810 x 12 = 1205 x 12 = 6011 x 12 = 1326 x 12 = 7212 x 12 = 144 The digits in the ones column increases by 2 each time until it reaches zero, then the pattern begins again.The digits in the tens increase almost in consecutive numbers.",11 and 12 times table
"When you multiply by 1, the answer stays the same.",Multiply and divide by 1 and multiply by 0
For example: 1 × 21 = 21 or 21 × 1 = 21 You can think of it as 21 lots of 1 or 1 lot of 21.,Multiply and divide by 1 and multiply by 0
They both equal 21.,Multiply and divide by 1 and multiply by 0
1 × a number = that number or a number × 1 = that number.,Multiply and divide by 1 and multiply by 0
"This works with any number, including big, small or negative numbers!For example: 1 × 20,000 = 20,0001 × 2 = 21 × -2 = -2 A common mistake is to think that 1 × 1 = 2.",Multiply and divide by 1 and multiply by 0
"1 plus 1 is 2, but 1 times 1 is 1.",Multiply and divide by 1 and multiply by 0
1 × 1 = 1 When you divide by 1 the answer also stays the same!,Multiply and divide by 1 and multiply by 0
For example: 21 ÷ 1 = 21 Think of it as if you had to divide 21 into groups of 1.,Multiply and divide by 1 and multiply by 0
You would get 21 groups.,Multiply and divide by 1 and multiply by 0
Or imagine sharing 21 carrots with 1 bear.,Multiply and divide by 1 and multiply by 0
The bear would get all 21 carrots.,Multiply and divide by 1 and multiply by 0
"That works with any number, including big, small or negative numbers!",Multiply and divide by 1 and multiply by 0
